probability_decile,n,mean_predicted_probability,observed_rate,weighted_mean_predicted_probability,weighted_observed_rate
"(0.0691, 0.168]",153,0.13018662276854673,0.0718954248366013,0.1312807285382018,0.07253556450448435
"(0.168, 0.232]",153,0.19865924798840923,0.1895424836601307,0.19892928592801096,0.17294660022060618
"(0.232, 0.291]",153,0.26044150192372645,0.24836601307189543,0.2598215819223129,0.22417193575063912
"(0.291, 0.351]",153,0.3198977117068809,0.41830065359477125,0.318258954404871,0.4316025739192224
"(0.351, 0.412]",153,0.38097008957507134,0.49673202614379086,0.3796615035100604,0.48859103883371263
"(0.412, 0.463]",153,0.43756484362022646,0.5032679738562091,0.4375649111742229,0.5097906733871459
"(0.463, 0.521]",153,0.49172495142714784,0.5359477124183006,0.4902118585367393,0.5998268530946516
"(0.521, 0.571]",153,0.5467422393650909,0.5620915032679739,0.5457904085952365,0.5642666528655078
"(0.571, 0.628]",153,0.5961648314928598,0.5163398692810458,0.5954092754154351,0.542261326291753
"(0.628, 0.923]",153,0.6971725977066445,0.48366013071895425,0.6933931356399737,0.4970545335916322
