subgroup_type,group,model,n,prevalence,roc_auc,pr_auc,recall,specificity,brier
sex_group,Female,logistic_benchmark,846,0.39952718676122934,0.7168906956157108,0.5767527934614536,0.33727810650887574,0.8464566929133859,0.21009204307336057
sex_group,Female,random_forest,846,0.39952718676122934,0.7082304430881051,0.5645469748361122,0.23964497041420119,0.9015748031496063,0.2104861895182844
sex_group,Female,gradient_boosting,846,0.39952718676122934,0.7132012067278573,0.5852211460206361,0.32840236686390534,0.8681102362204725,0.20852190977699095
sex_group,Male,logistic_benchmark,684,0.4064327485380117,0.6136283091753199,0.46350635660976447,0.5719424460431655,0.5886699507389163,0.2382794163515067
sex_group,Male,random_forest,684,0.4064327485380117,0.6394815182336888,0.5040382433847059,0.31654676258992803,0.7931034482758621,0.22378530012249953
sex_group,Male,gradient_boosting,684,0.4064327485380117,0.6320790658113902,0.49362618526515956,0.4712230215827338,0.6921182266009852,0.2273009792446922
age_group,18–29,logistic_benchmark,218,0.13302752293577982,0.7370917715745302,0.37871660473169866,0.06896551724137931,0.9947089947089947,0.10603121243137394
age_group,18–29,random_forest,218,0.13302752293577982,0.7117314358693669,0.33954476233084985,0.0,1.0,0.10984401990562732
age_group,18–29,gradient_boosting,218,0.13302752293577982,0.6829045794563036,0.29427663207810184,0.06896551724137931,0.9894179894179894,0.10890399190570124
age_group,30–44,logistic_benchmark,327,0.3211009174311927,0.7021450021450022,0.5479225920399518,0.11428571428571428,0.9774774774774775,0.1960178625996163
age_group,30–44,random_forest,327,0.3211009174311927,0.6957528957528958,0.4896929477630998,0.0761904761904762,0.972972972972973,0.19776553383683015
age_group,30–44,gradient_boosting,327,0.3211009174311927,0.6744744744744745,0.4851218371004277,0.1619047619047619,0.9369369369369369,0.20168536653636016
age_group,45–59,logistic_benchmark,310,0.45806451612903226,0.6182092555331992,0.5384116379303763,0.34507042253521125,0.7797619047619048,0.24171357168290447
age_group,45–59,random_forest,310,0.45806451612903226,0.6218980549966465,0.5718970042209662,0.352112676056338,0.7738095238095238,0.23674508388488033
age_group,45–59,gradient_boosting,310,0.45806451612903226,0.6230717639168343,0.5594005060819507,0.4295774647887324,0.7440476190476191,0.23818052521335092
age_group,60+,logistic_benchmark,675,0.5037037037037037,0.5005179982440737,0.5000140000501341,0.6176470588235294,0.3970149253731343,0.2645587209224877
age_group,60+,random_forest,675,0.5037037037037037,0.5332484635645303,0.5246097379713528,0.3264705882352941,0.7313432835820896,0.25056912549314847
age_group,60+,gradient_boosting,675,0.5037037037037037,0.5470412642669008,0.5502908147688141,0.4764705882352941,0.6029850746268657,0.24941519639367765
